,question,answer,category,reward,feedback,,intent
1,Điều gì được quy định ở phạm vi điều chỉnh của luật hôn nhân và gia đình,"Luật này quy định về chế độ hôn nhân và gia đình, chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình, và trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,1,,,1_1
,Luật Hôn nhân và gia đình quy định gì?,"Luật này quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,1,,,1_1
2,Phạm vi điều chỉnh của luật hôn nhân và gia đình là gì,"Luật này quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,1,,,1_1
3,Nguyên tắc cơ bản nào về hôn nhân và gia đình được quy định?,"Nguyên tắc cơ bản bao gồm hôn nhân tự nguyện, một vợ một chồng, vợ chồng bình đẳng, tôn trọng giữa các dân tộc, tôn giáo, tín ngưỡng khác nhau, và bảo vệ quyền của công dân Việt Nam và người nước ngoài.",CHUONG_1,1,,,1_2_1
,Nước ta quy định gì về chế độ hôn nhân,"Nước ta quy định về hôn nhân như sau hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng",CHUONG_1,1,,,1_2_1
,Quy định về hôn nhân như thế nào?,"Hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng",CHUONG_1,1,,,1_2_1
4,Những yếu tố nào cấu thành chế độ hôn nhân và gia đình?,"Các yếu tố bao gồm hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng, và trách nhiệm của cá nhân, tổ chức, Nhà nước, và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,1,,,1_2_1
5,Hôn nhân giữa người có tín ngưỡng và người không có tín ngưỡng được quyền lợi gì?,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,1,,,1_2_2
6,Hôn nhân giữa người có tín ngưỡng và người không có tín ngưỡng có được không?,"Được, Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.",CHUONG_1,1,,,1_2_2
7,"Hôn nhân giữa công dân Việt Nam thuộc các dân tộc, tôn giáo có quyền lợi gì",Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,1,,,1_2_2
8,Hôn nhân giữa công dân Việt Nam với người nước ngoài như thế nào,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,1,,,1_2_2
9,Nguyên tắc cơ bản về gia đình?,"Là xây dựng gia đình ấm no, tiến bộ, hạnh phúc; các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; không phân biệt đối xử giữa các con.",CHUONG_1,1,,,1_2_3
,Xây dựng gia đình dựa trên nguyên tắc gì,"Xây dựng gia đình theo nguyên tắc ấm no, tiến bộ, hạnh phúc, các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau, không phân biệt đối xử giữa các con",CHUONG_1,1,,,1_2_3
10,"Gia đình và xã hội có trách nhiệm gì đối với trẻ em, người cao tuổi, và người khuyết tật?","Gia đình và xã hội có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình.",CHUONG_1,1,,,1_2_4
,Nhà nước hỗ trợ gì về quyền hôn nhân và gia đình với người dân có hoàn cảnh khó khăn?,"Nhà nước và xã hội có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình.",CHUONG_1,1,,,1_2_4
11,Những gì cần được kế thừa và phát huy trong chế độ hôn nhân và gia đình?,"Kế thừa và phát huy truyền thống văn hóa, đạo đức tốt đẹp của dân tộc Việt Nam về hôn nhân và gia đình.",CHUONG_1,1,,,1_2_5
,Các yếu tố nào cần được kế thừa trong hôn nhân và gia đình?,"Cần kế thừa, phát huy truyền thống văn hóa, đạo đức tốt đẹp của dân tộc Việt Nam về hôn nhân và gia đình",CHUONG_1,1,,,1_2_5
12,Hôn nhân được định nghĩa như thế nào?,Hôn nhân là quan hệ giữa vợ và chồng sau khi kết hôn.,CHUONG_1,1,,,1_3_1
,Định nghĩa của hôn nhân?,Hôn nhân là quan hệ giữa vợ và chồng sau khi kết hôn.,CHUONG_1,1,,,1_3_1
,Sau khi kết hôn mối quan hệ giữa vợ và chồng được gọi là gì?,Sau khi kết hôn quan hệ giữa vợ và chồng là hôn nhân,CHUONG_1,1,,,1_3_1
13,Gia đình là gì và được xác định như thế nào?,"Gia đình là tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh các quyền và nghĩa vụ giữa họ với nhau.",CHUONG_1,1,,,1_3_2
,Gia đình là gì?,"Gia đình là tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh các quyền và nghĩa vụ giữa họ với nhau.",CHUONG_1,1,,,1_3_2
,Định nghĩa của gia đình là gì?,"Gia đình là tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh các quyền và nghĩa vụ giữa họ với nhau.",CHUONG_1,1,,,1_3_2
,Hiểu như thế nào là gia đình và mối quan hệ như thế nào?,"Tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh quyền và nghĩa vụ giữa họ với nhau.",CHUONG_1,1,,,1_3_2
14,Chế độ hôn nhân và gia đình bao gồm những gì?,"Chế độ hôn nhân và gia đình bao gồm toàn bộ quy định của pháp luật về kết hôn, ly hôn; quyền và nghĩa vụ giữa vợ và chồng, giữa cha mẹ và con, giữa các thành viên khác trong gia đình; cấp dưỡng; xác định cha, mẹ, con; quan hệ hôn nhân và gia đình có yếu tố nước ngoài và những vấn đề khác liên quan.",CHUONG_1,1,,,1_3_3
,Chế độ hôn nhân và gia đình là gì?,"Chế độ hôn nhân và gia đình bao gồm toàn bộ quy định của pháp luật về kết hôn, ly hôn; quyền và nghĩa vụ giữa vợ và chồng, giữa cha mẹ và con, giữa các thành viên khác trong gia đình; cấp dưỡng; xác định cha, mẹ, con; quan hệ hôn nhân và gia đình có yếu tố nước ngoài và những vấn đề khác liên quan.",CHUONG_1,1,,,1_3_3
,"Xác định cha, mẹ, con nằm trong đâu?","Xác định cha,mẹ, con nằm trong quy định chế độ hôn nhân và gia đình",CHUONG_1,1,,,1_3_3
15,Tập quán về hôn nhân và gia đình được mô tả như thế nào?,"Tập quán về hôn nhân và gia đình là quy tắc xử sự có nội dung rõ ràng về quyền, nghĩa vụ của các bên trong quan hệ hôn nhân và gia đình, được lặp đi, lặp lại trong một thời gian dài và được thừa nhận rộng rãi trong một vùng, miền hoặc cộng đồng.",CHUONG_1,1,,,1_3_4
,Tập quán về hôn nhân và gia đình là gì?,"Tập quán về hôn nhân và gia đình là quy tắc xử sự có nội dung rõ ràng về quyền, nghĩa vụ của các bên trong quan hệ hôn nhân và gia đình, được lặp đi, lặp lại trong một thời gian dài và được thừa nhận rộng rãi trong một vùng, miền hoặc cộng đồng.",CHUONG_1,1,,,1_3_4
16,Kết hôn được định nghĩa như thế nào?,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.,CHUONG_1,1,,,1_3_5
,Kết hôn là gì,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.,CHUONG_1,1,,,1_3_5
,Định nghĩa của kết hôn là gì?,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.,CHUONG_1,1,,,1_3_5
17,Kết hôn trái pháp luật là gì?,"Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
,Khi nào tính là kết hôn trái pháp luật?,"Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
18,Kết hôn trái pháp luật có thể xảy ra khi nào?,"Kết hôn trái pháp luật xảy ra khi nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước nhưng vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
19,Chung sống như vợ chồng là gì?,"Chung sống như vợ chồng là việc nam, nữ tổ chức cuộc sống chung và coi nhau là vợ chồng.",CHUONG_1,1,,,1_3_7
,Nam và nữ sống chung với nhau có được tính như vợ chồng không?,"Theo quy định chung sống như vợ chồng là việc nam, nữ tổ chức cuộc sống chung và coi nhau là vợ chồng.",CHUONG_1,1,,,1_3_7
20,Tảo hôn là gì?,"Tảo hôn là việc lấy vợ, lấy chồng khi một bên hoặc cả hai bên chưa đủ tuổi kết hôn theo quy định tại điểm a khoản 1 Điều 8.",CHUONG_1,1,,,1_3_8
,Kết hôn chưa đủ tuổi theo quy định thì gọi là gì?,Được gọi là tảo hôn vì lấy vợ hoặc chồng khi một hoặc cả hai đều chưa đủ tuổi kết hôn.,CHUONG_1,1,,,1_3_8
21,"Cưỡng ép kết hôn, ly hôn là gì?","Cưỡng ép kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
,Khi nào được tính là cưỡng ép kết hôn?,"Cưỡng ép kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
,Đe dọa vợ hoặc chồng ly hôn gọi là gì?,"Được gọi là cưỡng ép ly hôn khi đe dọa uy hiếp tinh thần, hành hạ, ngược đãi, hành vi khác để buộc người khác phải ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
22,"Cản trở kết hôn, ly hôn là gì?","Cản trở kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
,Cản trở ly hôn là gì?,"Cản trở ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
,Cản trở kết hôn là gì?,"Cản trở kết hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
23,Kết hôn giả tạo là gì?,"Kết hôn giả tạo là việc lợi dụng kết hôn để xuất cảnh, nhập cảnh, cư trú, nhập quốc tịch Việt Nam, quốc tịch nước ngoài; hưởng chế độ ưu đãi của Nhà nước hoặc để đạt được mục đích khác mà không nhằm mục đích xây dựng gia đình.",CHUONG_1,1,,,1_3_11
24,Yêu sách của cải trong kết hôn là gì?,"Yêu sách của cải trong kết hôn là việc đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện của nam, nữ.",CHUONG_1,1,,,1_3_12
25,Thời kỳ hôn nhân là thời gian tính từ khi nào đến khi nào?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
,Hôn nhân được tính từ khi nào?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
,Thời kỳ hôn nhân là gì?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
26,Ly hôn là gì?,"Ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án.",CHUONG_1,1,,,1_3_14
27,Ly hôn giả tạo là gì?,"y hôn giả tạo là việc lợi dụng ly hôn để trốn tránh nghĩa vụ tài sản, vi phạm chính sách, pháp luật về dân số hoặc để đạt được mục đích khác mà không nhằm mục đích chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_15
,Ly hôn giả là gì?,"y hôn giả tạo là việc lợi dụng ly hôn để trốn tránh nghĩa vụ tài sản, vi phạm chính sách, pháp luật về dân số hoặc để đạt được mục đích khác mà không nhằm mục đích chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_15
28,Thành viên gia đình bao gồm những ai?,"Thành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột.",CHUONG_1,1,,,1_3_16
,Thành viên gia đình gồm ai?,"Thành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột.",CHUONG_1,1,,,1_3_16
29,Những người cùng dòng máu về trực hệ là những ai?,"Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.",CHUONG_1,1,,,1_3_17
,Những người cùng dòng máu về trực hệ bao gồm ai?,"Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.",CHUONG_1,1,,,1_3_17
30,Những người có họ trong phạm vi ba đời là ai?,"Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.",CHUONG_1,1,,,1_3_18
