answer,intent
"Vợ, chồng, cha, mẹ, hoặc người thân thích khi một bên mắc bệnh tâm thần hoặc là nạn nhân của bạo lực gia đình.",04_51_1
Trong trường hợp một bên vợ hoặc chồng mắc bệnh tâm thần hoặc là nạn nhân của bạo lực gia đình,04_51_2
"Người thân, cha, mẹ của bên mắc bệnh tâm thần hoặc bị bạo lực gia đình",04_51_2
"Cha, mẹ, người thân thích khác có quyền yêu cầu Tòa án giải quyết ly hôn khi một bên vợ, chồng bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình và là nạn nhân của bạo lực gia đình do chồng hoặc vợ gây ra, ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của họ.",04_51_2
"Chồng không có quyền yêu cầu ly hôn khi vợ đang mang thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi.",04_51_3
"Không, khi vợ đang mang thai, sinh con hoặc nuôi con dưới 12 tháng tuổi chồng không thể yêu cầu ly hôn",04_51_3
"Khi vợ đang mang thai, sinh con hoặc nuôi con dưới 12 tháng tuổi chồng không thể yêu cầu ly hôn",04_51_3
"Nhà nước và xã hội khuyến khích việc hòa giải ở cơ sở khi vợ, chồng có yêu cầu ly hôn, thực hiện theo quy định của pháp luật về hòa giải ở cơ sở.",04_52
"Khi có yêu cầu ly hôn, Nhà nước và xã hội khuyến khích hòa giải ở cơ sở khi vợ hoặc chồng có yêu cầu ly hồn thực hiện theo quy định của pháp luật về hòa giải ở cơ sở",04_52
"Nhà nước và xã hội khuyến khích việc hòa giải ở cơ sở khi vợ, chồng có yêu cầu ly hôn, thực hiện theo quy định của pháp luật về hòa giải ở cơ sở.",04_52
Tòa án có thẩm quyền thụ lý đơn yêu cầu ly hôn theo quy định của pháp luật về tố tụng dân sự.,04_53_1
Tòa án có đủ quyền thụ lý đơn yêu cầu ly hôn theo quy định của pháp luật về tố tụng dân sự,04_53_1
"Theo quy định của pháp luật về tố tụng dân sự, tòa án có thẩm quyền thụ lý đơn yêu cầu ly hôn.",04_53_1
"Trong trường hợp không đăng ký kết hôn mà có yêu cầu ly hôn, Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định tại khoản 1 Điều 14 của Luật hôn nhân và gia đình. Nếu có yêu cầu về con và tài sản, thì giải quyết theo quy định tại Điều 15 và Điều 16 của Luật hôn nhân và gia đình.",04_53_2
Trong trường hợp yêu cầu phân chia tài sản và quyền nuôi con khi yêu cầu ly hôn nhưng không đăng kí kết hôn. Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định khoản 1 Điều 14 và yêu cầu về con và tài sản giải quyết theo Điều 15 và Điều 16.,04_53_2
"Trong trường hợp không đăng ký kết hôn mà có yêu cầu ly hôn, Tòa án thụ lý và tuyên bố không công nhận quan hệ vợ chồng theo quy định khoản 1 Điều 14.",04_53_2
"Tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn, theo quy định của pháp luật về tố tụng dân sự.",04_54
"Theo quy định của pháp luật về tố tụng dân sự, tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn",04_54
"Theo quy định của pháp luật về tố tụng dân sự, tòa án thực hiện hòa giải sau khi đã thụ lý đơn yêu cầu ly hôn",04_54
"Nếu xét thấy cả hai bên tự nguyện ly hôn và đã thỏa thuận về chia tài sản, trông nom, nuôi dưỡng, chăm sóc, giáo dục con sao cho bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ công nhận thuận tình ly hôn.",04_55
"Khi vợ chồng cùng yêu cầu ly hôn, cả hai bên tự nguyện ly hôn và thỏa thuận về chia tài sản, nuôi con đảm bảo quyền lợi chính đáng của vợ và con. Tòa án sẽ công nhận ly hôn,",04_55
"Khi vợ chồng cùng yêu cầu ly hôn, cả hai bên tự nguyện ly hôn và thỏa thuận về chia tài sản, nuôi con đảm bảo quyền lợi chính đáng của vợ và con. Tòa án sẽ công nhận ly hôn,",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Trong trường hợp không thỏa thuận được hoặc thỏa thuận nhưng không bảo đảm quyền lợi chính đáng của vợ và con, Tòa án sẽ giải quyết việc ly hôn.",04_55
"Tòa án giải quyết cho ly hôn nếu có căn cứ về việc vợ, chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được.",04_56_1
"Tòa án giải quyết cho ly hôn nếu có căn cứ về việc vợ, chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ của vợ, chồng làm cho hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được.",04_56_1
"Trong trường hợp vợ hoặc chồng có yêu cầu ly hôn và hòa giải không thành Tòa án căn cú vào vợ hoặc chồng có hành vi bạo lực gia đình hoặc vi phạm nghiêm trọng quyền, nghĩa vụ vợ, chồng khiến hôn nhân lâm vào tình trạng trầm trọng, đời sống chung không thể kéo dài, mục đích của hôn nhân không đạt được.",04_56_1
"Trong trường hợp vợ hoặc chồng của người bị Tòa án tuyên bố mất tích yêu cầu ly hôn, Tòa án sẽ giải quyết cho ly hôn.",04_56_2
"Trong trường hợp vợ hoặc chồng của người bị Tòa án tuyên bố mất tích yêu cầu ly hôn, Tòa án sẽ giải quyết cho ly hôn.",04_56_2
"Tòa án giải quyết cho ly hôn nếu có căn cứ về việc chồng, vợ có hành vi bạo lực gia đình làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe, tinh thần của người.",04_56_3
"Trong trường hợp, vợ hoặc chồng là nạn nhân bạo lực gia đình Tòa giải quyết ly hôn nếu có căn cứ về việc vợ hoặc chồng có hành vị bạo lực gia đình làm ảnh hưởng nghiêm trọng đến tính mạng, sức khỏe tinh thần của người kia.",04_56_3
"Quan hệ hôn nhân chấm dứt kể từ ngày bản án, quyết định ly hôn của Tòa án có hiệu lực pháp luật.",04_57_1
"Quan hệ hôn nhân chấm dứt kể từ ngày bản án, quyết định ly hôn của Tòa án có hiệu lực pháp luật.",04_57_1
"Tòa án đã giải quyết ly hôn phải gửi bản án, quyết định ly hôn đã có hiệu lực pháp luật cho cơ quan đã thực hiện việc đăng ký kết hôn để ghi vào sổ hộ tịch; hai bên ly hôn; cá nhân, cơ quan, tổ chức khác theo quy định của Bộ luật tố tụng dân sự và các luật khác có liên quan.",04_57_2
"Tòa án đã giải quyết ly hôn phải gửi bản án, quyết định ly hôn đã có hiệu lực pháp luật cho cơ quan đã thực hiện việc đăng ký kết hôn để ghi vào sổ hộ tịch; hai bên ly hôn; cá nhân, cơ quan, tổ chức khác theo quy định của Bộ luật tố tụng dân sự và các luật khác có liên quan.",04_57_2
"Tòa án phải gửi bản án, quyết định ly hôn đã có hiệu lực pháp luật cho cơ quan đã thực hiện việc đăng ký kết hôn để ghi vào sổ hộ tịch; hai bên ly hôn; cá nhân; cơ quan; tổ chức theo quy định của Bộ luật tố tụng dân sự",04_57_2
"Việc trông nom, chăm sóc, nuôi dưỡng, giáo dục con sau khi ly hôn được áp dụng theo quy định tại các điều 81, 82, 83 và 84 của Luật hôn nhân và gia đình.",04_58
"Trong trường hợp chế độ tài sản của vợ chồng theo luật định, việc giải quyết tài sản do các bên thỏa thuận; nếu không thỏa thuận được thì theo yêu cầu của vợ, chồng hoặc của hai vợ chồng, Tòa án giải quyết theo quy định tại các khoản 2, 3, 4 và 5 Điều này và tại các điều 60, 61, 62, 63 và 64 của Luật Hôn nhân và gia đình.",04_59_1
"Trong trường hợp chế độ tài sản của vợ chồng theo luật định, việc giải quyết tài sản do hay bên thỏa thuận; nếu không thỏa thuận được thì theo yêu cầu của vợ, chồng hoặc của hai vợ chồng. Tòa án giải quyết theo quy định.",04_59_1
"Trong trường hợp chế độ tài sản của vợ chồng theo thỏa thuận, việc giải quyết tài sản khi ly hôn được áp dụng theo thỏa thuận đó; nếu thỏa thuận không đầy đủ, rõ ràng thì áp dụng quy định tương ứng tại các khoản 2, 3, 4 và 5 Điều này và tại các điều 60, 61, 62, 63 và 64 của Luật Hôn nhân và gia đình để giải quyết.",04_59_1
"Tài sản chung của vợ chồng được chia đôi, nhưng có tính đến các yếu tố như hoàn cảnh gia đình và của vợ, chồng; công sức đóng góp vào việc tạo lập, duy trì và phát triển khối tài sản chung; bảo vệ lợi ích chính đáng của mỗi bên trong sản xuất, kinh doanh và nghề nghiệp; lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng.",04_59_2
"Tài sản chung của vợ chồng được chia bằng hiện vật, nếu không chia được bằng hiện vật thì chia theo giá trị; bên nào nhận phần tài sản bằng hiện vật có giá trị lớn hơn phần mình được hưởng thì phải thanh toán cho bên kia phần chênh lệch.",04_59_3
"Tài sản riêng của vợ, chồng sau khi ly hôn thuộc quyền sở hữu của người đó, trừ trường hợp tài sản riêng đã nhập vào tài sản chung theo quy định của Luật hôn nhân và gia đình.",04_59_4
"Tài sản riêng của vợ, chồng sau khi ly hôn thuộc quyền sở hữu của người đó, trừ trường hợp tài sản riêng đã nhập vào tài sản chung.",04_59_4
"Trong trường hợp có sự sáp nhập, trộn lẫn giữa tài sản riêng với tài sản chung mà vợ, chồng có yêu cầu về chia tài sản, được thanh toán phần giá trị tài sản của mình đóng góp vào khối tài sản đó, trừ trường hợp vợ chồng có thỏa thuận khác.",04_59_4
"Sau khi ly hôn, tài sản riêng có sự sáp nhập, trộn lẫn với tài sản chung mà vợ, chồng có yêu cầu chia tài sản thì được thanh toán phần giá trị tài sản của mình đóng góp vào khối tài sản đó, nếu vợ chồng không có thỏa thuận khác",04_59_4
"Trong trường hợp có sự sáp nhập, trộn lẫn giữa tài sản riêng với tài sản chung mà vợ, chồng có yêu cầu về chia tài sản, được thanh toán phần giá trị tài sản của mình đóng góp vào khối tài sản đó, trừ trường hợp vợ chồng có thỏa thuận khác.",04_59_4
Tòa án nhân dân tối cao chủ trì phối hợp với Viện kiểm sát nhân dân tối cao và Bộ Tư pháp hướng dẫn Điều này.,04_59_6
Tòa án nhân dân tối cao chủ trì phối hợp với Viện kiểm sát nhân dân tối cao và Bộ Tư pháp hướng dẫn Điều này.,04_59_6
"Quyền, nghĩa vụ tài sản của vợ chồng đối với người thứ ba vẫn có hiệu lực sau khi ly hôn, trừ trường hợp vợ chồng và người thứ ba có thỏa thuận khác.",04_60_1
"Quyền, nghĩa vụ tài sản của vợ chồng đối với người thứ ba vẫn có hiệu lực sau khi ly hôn, trừ trường hợp vợ chồng và người thứ ba có thỏa thuận khác.",04_60_1
"Trong trường hợp có tranh chấp về quyền, nghĩa vụ tài sản sau khi ly hôn, áp dụng quy định tại các điều 27, 37 và 45 của Luật Hôn nhân và gia đình và quy định của Bộ luật dân sự để giải quyết.",04_60_2
"Trong trường hợp có tranh chấp về quyền, nghĩa vụ tài sản sau khi ly hôn, áp dụng quy định tại các điều 27, 37 và 45 của Luật Hôn nhân và gia đình và quy định của Bộ luật dân sự để giải quyết.",04_60_2
"Nếu tài sản của vợ chồng trong khối tài sản chung của gia đình không xác định được, vợ hoặc chồng được chia một phần trong khối tài sản chung của gia đình căn cứ vào công sức đóng góp của vợ chồng vào việc tạo lập, duy trì, phát triển khối tài sản chung cũng như vào đời sống chung của gia đình. Việc chia một phần trong khối tài sản chung do vợ chồng thỏa thuận với gia đình; nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết.",04_61_1
Khi ly hôn sẽ căn cứ theo một phần khối tài sản chung do vợ chồng thỏa thuận với gia đình. Nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết định theo Điều 59,04_61_1
Khi ly hôn sẽ căn cứ theo một phần khối tài sản chung do vợ chồng thỏa thuận với gia đình,04_61_1
"Khi ly hôn nếu tài sản của vợ chồng trong khối tài sản chung của gia đình nếu không xác định được thì vợ hoặc chồng được chia một phần trong khối tài sản của gia đình căn cứ vào công sức đóng góp vào việc tạo lập, duy trì, phát triển khối tài sản chung.",04_61_1
"Trong trường hợp vợ chồng sống chung với gia đình mà tài sản của vợ chồng trong khối tài sản chung của gia đình có thể xác định được theo phần, khi ly hôn, phần tài sản của vợ chồng được trích ra từ khối tài sản chung đó để chia theo quy định tại Điều 59 của Luật Hôn nhân và gia đình.",04_61_2
Quyền sử dụng đất là tài sản riêng của bên nào thì khi ly hôn vẫn thuộc về bên đó.,04_62_1
"Đối với đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản, nếu cả hai bên đều có nhu cầu và có điều kiện trực tiếp sử dụng đất thì được chia theo thỏa thuận của hai bên; nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết theo quy định tại Điều 59 của Luật hôn nhân và gia đình.",04_62_2
"Đối với đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản, nếu hai bên có nhu cầu và có điều kiên trực tiếp sử dụng đất thì được chia theo thỏa thuận của hai bên. Nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết theo quy định 59",04_62_2
Trong trường hợp chỉ một bên có nhu cầu và có điều kiện trực tiếp sử dụng đất thì bên đó được tiếp tục sử dụng nhưng phải thanh toán cho bên kia phần giá trị quyền sử dụng đất mà họ được hưởng.,04_62_2
Trong trường hợp chỉ có một bên có nhu cầu và có điều kiên trực tiếp sử dụng đất thì bên đó được sử dụng tiếp tục nhưng phải thanh toán cho bên kia phần giá trị quyền sử dụng đất mà họ được hưởng,04_62_2
"Trong trường hợp vợ chồng có quyền sử dụng đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản chung với hộ gia đình thì khi ly hôn phần quyền sử dụng đất của vợ chồng được tách ra và chia theo quy định tại điểm a khoản này.",04_62_3
"Trong trường hợp vợ chồng có quyền sử dụng đất nông nghiệp trồng cây hàng năm, nuôi trồng thủy sản chung với hộ gia đình thì khi ly hôn phần quyền sử dụng đất của vợ chồng được tách ra và chia theo quy định tại điểm a khoản này.",04_62_3
"Đối với đất nông nghiệp trồng cây lâu năm, đất lâm nghiệp để trồng rừng, đất ở thì được chia theo quy định tại Điều 59 của Luật hôn nhân và gia đình. Đối với loại đất khác thì được chia theo quy định của pháp luật về đất đai.",04_62_3
Trong trường hợp vợ chồng sống chung với gia đình mà không có quyền sử dụng đất chung với hộ gia đình thì khi ly hôn quyền lợi của bên không có quyền sử dụng đất và không tiếp tục sống chung với gia đình được giải quyết theo quy định tại Điều 61 của Luật hôn nhân và gia đình.,04_62_3
Nhà ở thuộc sở hữu riêng của vợ hoặc chồng đã đưa vào sử dụng chung khi ly hôn vẫn thuộc sở hữu riêng của người đó.,04_63
"Sau khi ly hôn, vợ hoặc chồng có khó khăn về chỗ ở thì được quyền lưu cư trong thời hạn 6 tháng kể từ ngày quan hệ hôn nhân chấm dứt, trừ trường hợp các bên có thỏa thuận khác",04_63
Sau khi ly hôn vẫn thuộc quyền sở hữu riêng của người đó.,04_63
"Trong thời hạn 06 tháng kể từ ngày quan hệ hôn nhân chấm dứt, trừ khi có thỏa thuận khác giữa các bên.",04_63
Vợ hoặc chồng đang thực hiện hoạt động kinh doanh liên quan đến tài sản chung có quyền được nhận và giữ lại tài sản đó khi ly hôn.,04_64
"Tài sản chung của vợ hoặc chồng đang thực hiện kinh doanh có quyền được nhận tài sản đó và phải thanh toán cho bên kia phần giá trị tài sản mà họ được hưởng, trừ trường hợp pháp luật kinh doanh có quy định khác",04_64
"Vợ hoặc chồng nhận tài sản từ hoạt động kinh doanh liên quan đến tài sản chung phải thanh toán cho bên kia phần giá trị tài sản mà họ được hưởng, trừ khi có quy định khác trong pháp luật về kinh doanh.",04_64
Hôn nhân chấm dứt kể từ thời điểm vợ hoặc chồng chết.,04_65
"Thời điểm vợ hoặc chồng chết, Trong trường hợp Tòa án tuyên bố vợ hoặc chống đã chết thì thời điểm hôn nhân chấm dứt được xác định theo ngày chết được ghi trong bản án, quyết định của Tòa án",04_65
"Trong trường hợp Tòa án tuyên bố vợ hoặc chồng đã chết, thời điểm chấm dứt hôn nhân được xác định theo ngày chết được ghi trong bản án, quyết định của Tòa án.",04_65
"Khi một bên vợ hoặc chồng chết, bên còn sống quản lý tài sản chung của vợ chồng, trừ khi di chúc hoặc thỏa thuận thừa kế đã chỉ định người khác quản lý di sản.",04_66_1
"Trong trường hợp một bên vợ hoặc chồng chết, tài sản chung của vợ chồng được chia đôi, trừ khi có thỏa thuận khác về chế độ tài sản. Phần tài sản của bên đã chết được chia theo quy định về thừa kế trong pháp luật.",04_66_1
"Khi có yêu cầu chia di sản, tài sản chung của vợ chồng được chia đôi, trừ trường hợp vợ chồng có thỏa thuận chế độ tài sản. Phần tài sản của vợ, chồng chết được chia theo quy định pháp luật về thừa kế",04_66_2
"Trong trường hợp việc chia di sản ảnh hưởng nghiêm trọng đến đời sống của bên còn sống, họ có quyền yêu cầu Tòa án hạn chế phân chia di sản theo quy định của Bộ luật dân sự.",04_66_3
"Trong trường hợp việc chia di sản ảnh hưởng nghiêm trọng đến đời sống của bên còn sống, họ có quyền yêu cầu Tòa án hạn chế phân chia di sản theo quy định của Bộ luật dân sự.",04_66_3
"Tài sản của vợ chồng trong kinh doanh được giải quyết theo quy định tại các khoản 1, 2 và 3 của Điều 66, trừ khi có quy định khác trong pháp luật về kinh doanh.",04_66_4
"Tài sản của vợ chồng trong kinh doanh được giải quyết theo quy định tại các khoản 1, 2 và 3 của Điều 66, trừ khi có quy định khác trong pháp luật về kinh doanh.",04_66_4
"Khi Tòa án hủy bỏ quyết định tuyên bố một người là đã chết và vợ hoặc chồng của người đó chưa kết hôn với người khác, quan hệ hôn nhân được khôi phục kể từ thời điểm kết hôn. Trong trường hợp có quyết định cho ly hôn của Tòa án theo quy định tại khoản 2 Điều 56 của Luật này, thì quyết định cho ly hôn vẫn có hiệu lực pháp luật. Nếu vợ, chồng đã kết hôn với người khác, quan hệ hôn nhân mới được xác lập sau có hiệu lực pháp luật.",04_67_1
"Khi Tòa án hủy bỏ quyết định tuyên bố một người là đã chết và vợ hoặc chồng của người đó chưa kết hôn với người khác, quan hệ hôn nhân được khôi phục kể từ thời điểm kết hôn. Trong trường hợp có quyết định cho ly hôn của Tòa án theo quy định tại khoản 2 Điều 56 của Luật này, thì quyết định cho ly hôn vẫn có hiệu lực pháp luật. Nếu vợ, chồng đã kết hôn với người khác, quan hệ hôn nhân mới được xác lập sau có hiệu lực pháp luật.",04_67_1
"Quan hệ tài sản của người bị tuyên bố đã chết khi quyết định hủy bỏ tuyên bố được giải quyết như sau: a) Nếu hôn nhân được khôi phục, quan hệ tài sản được khôi phục kể từ thời điểm quyết định của Tòa án hủy bỏ tuyên bố chồng, vợ là đã chết có hiệu lực. Tài sản do vợ, chồng có được từ thời điểm quyết định hủy bỏ tuyên bố có hiệu lực đến khi quyết định hủy bỏ tuyên bố chồng, vợ đã chết có hiệu lực là tài sản riêng của người đó; b) Nếu hôn nhân không được khôi phục, tài sản có được trước khi quyết định hủy bỏ tuyên bố có hiệu lực mà chưa chia được giải quyết như chia tài sản khi ly hôn.",04_67_2
"Trong trường hợp hôn nhân không được khôi phục thì tài sản có được trước khi quyết định của Tòa án về việc tuyên bố vợ, chồng là đã chết có hiệu lực mà chưa chia được giải quyết tài sản khi ly hôn.",04_67_2
"Trong trường hợp hôn nhân được khôi phục thì quan hệ tài sản được khôi phục kể từ thời điểm quyết định của Tòa án hủy bỏ tuyên bố vợ chồng đã chết có hiệu lực. Tài sản khi vợ hoặc chồng có trong lúc tuyên bố vợ, chồng đã chết đến khi hủy bỏ tuyên bố vợ, chồng chết là tài sản riêng của người đó.",04_67_2
"Khi ly hôn và giải quyết tài sản của vợ chồng cần phải đảm bảo quyền, lợi ích hợp pháp của vợ, con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",04_67_2
"Sorry, I have no idea about your question.",No intent detected
